Name,Compartment,Treat,Week,Group,Group_1
SRR8743074_quant,Root,Preflowering,TP09,RPR09,Root_Preflowering_TP09
SRR8743075_quant,Root,Preflowering,TP09,RPR09,Root_Preflowering_TP09
SRR8743076_quant,Root,Preflowering,TP09,RPR09,Root_Preflowering_TP09
SRR8743077_quant,Root,Preflowering,TP10,RPR10,Root_Preflowering_TP10
SRR8743078_quant,Root,Preflowering,TP10,RPR10,Root_Preflowering_TP10
SRR8743079_quant,Root,Preflowering,TP10,RPR10,Root_Preflowering_TP10
SRR8743080_quant,Root,Preflowering,TP11,RPR11,Root_Preflowering_TP11
SRR8743081_quant,Root,Preflowering,TP11,RPR11,Root_Preflowering_TP11
SRR8743082_quant,Root,Preflowering,TP11,RPR11,Root_Preflowering_TP11
SRR8743083_quant,Root,Preflowering,TP12,RPR12,Root_Preflowering_TP12
SRR8743084_unmaped_quant,Root,Preflowering,TP12,RPR12,Root_Preflowering_TP12
SRR8743085_quant,Root,Preflowering,TP12,RPR12,Root_Preflowering_TP12
SRR8743086_quant,Root,Preflowering,TP13,RPR13,Root_Preflowering_TP13
SRR8743087_quant,Root,Preflowering,TP13,RPR13,Root_Preflowering_TP13
SRR8743088_quant,Root,Preflowering,TP13,RPR13,Root_Preflowering_TP13
SRR8743089_quant,Root,Preflowering,TP14,RPR14,Root_Preflowering_TP14
SRR8743090_quant,Root,Preflowering,TP15,RPR15,Root_Preflowering_TP15
SRR8743091_quant,Root,Preflowering,TP15,RPR15,Root_Preflowering_TP15
SRR8743092_quant,Root,Preflowering,TP16,RPR16,Root_Preflowering_TP16
SRR8743093_quant,Root,Preflowering,TP17,RPR17,Root_Preflowering_TP17
SRR8743094_quant,Root,Preflowering,TP17,RPR17,Root_Preflowering_TP17
SRR8743095_quant,Root,Preflowering,TP17,RPR17,Root_Preflowering_TP17
SRR8743096_quant,Root,Postflowering,TP09,RPO09,Root_Postflowering_TP09
SRR8743097_quant,Root,Postflowering,TP09,RPO09,Root_Postflowering_TP09
SRR8743098_quant,Root,Postflowering,TP09,RPO09,Root_Postflowering_TP09
SRR8743099_quant,Root,Postflowering,TP10,RPO10,Root_Postflowering_TP10
SRR8743100_quant,Root,Postflowering,TP10,RPO10,Root_Postflowering_TP10
SRR8743101_quant,Root,Postflowering,TP10,RPO10,Root_Postflowering_TP10
SRR8743102_quant,Root,Postflowering,TP11,RPO11,Root_Postflowering_TP11
SRR8743103_quant,Root,Postflowering,TP11,RPO11,Root_Postflowering_TP11
SRR8743104_quant,Root,Postflowering,TP11,RPO11,Root_Postflowering_TP11
