ID,Group,Group2
DCLX008A_S6_L002_nonrrna,Metatranscriptome_Soil_Postflowering_TP10,TP10S21_L001
DCLX008B_S7_L002_nonrrna,Metatranscriptome_Soil_Postflowering_TP10,TP10S22_L001
DCLX008C_S8_L002_nonrrna,Metatranscriptome_Soil_Preflowering_TP04,TP04S5_L002
DCLX008D_S9_L002_nonrrna,Metatranscriptome_Rhizosphere_Preflowering_TP04,TP04Z6_L002
DCLX008E_S10_L002_nonrrna,Metatranscriptome_Rhizosphere_Control_TP04,TP04Z11_L001
DCLX009A_S1_L001_nonrrna,Metatranscriptome_Soil_Preflowering_TP04,TP04S6_L001
DCLX009B_S2_L001_nonrrna,Metatranscriptome_Soil_Control_TP04,TP04S11_L001
DCLX009C_S3_L001_nonrrna,Metatranscriptome_Soil_Control_TP04,TP04S12_L002
DCLX009D_S4_L001_nonrrna,Metatranscriptome_Rhizosphere_Control_TP04,TP04Z12_L001
DCLX009E_S5_L001_nonrrna,Metatranscriptome_Rhizosphere_Preflowering_TP10,TP10Z6_L001
DCLX010A_S6_L002_nonrrna,Metatranscriptome_Rhizosphere_Control_TP10,TP10Z11_L002
DCLX010B_S7_L002_nonrrna,Metatranscriptome_Rhizosphere_Control_TP10,TP10Z12_L002
DCLX010C_S8_L002_nonrrna,Metatranscriptome_Rhizosphere_Postflowering_TP10,TP10Z21_L002
DCLX010D_S9_L002_nonrrna,Metatranscriptome_Rhizosphere_Postflowering_TP10,TP10Z22_L002
DCLX011A_S1_L001_nonrrna,Metatranscriptome_Soil_Control_TP11,TP11S11_L002
DCLX011B_S2_L001_nonrrna,Metatranscriptome_Soil_Control_TP11,TP11S12_L002
DCLX011C_S3_L001_nonrrna,Metatranscriptome_Rhizosphere_Postflowering_TP11,TP11Z21_L001
DCLX011D_S4_L001_nonrrna,Metatranscriptome_Rhizosphere_Postflowering_TP11,TP11Z22_L001
DCLX012A_S5_L002_nonrrna,Metatranscriptome_Soil_Postflowering_TP11,TP11S21_L002
DCLX012B_S6_L002_nonrrna,Metatranscriptome_Soil_Postflowering_TP11,TP11S22_L002
DCLX012C_S7_L002_nonrrna,Metatranscriptome_Rhizosphere_Control_TP11,TP11Z11_L001
DCLX012D_S8_L002_nonrrna,Metatranscriptome_Rhizosphere_Control_TP11,TP11Z12_L001
SRR8743058,Metatranscriptome_Root_Preflowering_TP03,TP03R5
SRR8743059,Metatranscriptome_Root_Preflowering_TP03,TP03R13
SRR8743060,Metatranscriptome_Root_Preflowering_TP03,TP03R18
SRR8743061,Metatranscriptome_Root_Preflowering_TP04,TP04R5
SRR8743062,Metatranscriptome_Root_Preflowering_TP04,TP04R13
SRR8743063,Metatranscriptome_Root_Preflowering_TP04,TP04R18
SRR8743064,Metatranscriptome_Root_Preflowering_TP05,TP05R13
SRR8743065,Metatranscriptome_Root_Preflowering_TP05,TP05R18
SRR8743066,Metatranscriptome_Root_Preflowering_TP05,TP05R5
SRR8743067,Metatranscriptome_Root_Preflowering_TP06,TP06R13
SRR8743068,Metatranscriptome_Root_Preflowering_TP06,TP06R5
SRR8743069,Metatranscriptome_Root_Preflowering_TP06,TP06R18
SRR8743070,Metatranscriptome_Root_Preflowering_TP07,TP07R5
SRR8743071,Metatranscriptome_Root_Preflowering_TP08,TP08R13
SRR8743072,Metatranscriptome_Root_Preflowering_TP08,TP08R5
SRR8743073,Metatranscriptome_Root_Preflowering_TP08,TP08R18
SRR8743074,Metatranscriptome_Root_Preflowering_TP09,TP09R5
SRR8743075,Metatranscriptome_Root_Preflowering_TP09,TP09R13
SRR8743076,Metatranscriptome_Root_Preflowering_TP09,TP09R18
SRR8743077,Metatranscriptome_Root_Preflowering_TP10,TP10R13
SRR8743078,Metatranscriptome_Root_Preflowering_TP10,TP10R5
SRR8743079,Metatranscriptome_Root_Preflowering_TP10,TP10R18
SRR8743080,Metatranscriptome_Root_Preflowering_TP11,TP11R13
SRR8743081,Metatranscriptome_Root_Preflowering_TP11,TP11R5t
SRR8743082,Metatranscriptome_Root_Preflowering_TP11,TP11R18
SRR8743083,Metatranscriptome_Root_Preflowering_TP12,TP12R18
SRR8743084,Metatranscriptome_Root_Preflowering_TP12,TP12R13
SRR8743085,Metatranscriptome_Root_Preflowering_TP12,TP12R5
SRR8743086,Metatranscriptome_Root_Preflowering_TP13,TP13R13
SRR8743087,Metatranscriptome_Root_Preflowering_TP13,TP13R5
SRR8743088,Metatranscriptome_Root_Preflowering_TP13,TP13R18
SRR8743089,Metatranscriptome_Root_Preflowering_TP14,TP14R5
SRR8743090,Metatranscriptome_Root_Preflowering_TP15,TP15R5
SRR8743091,Metatranscriptome_Root_Preflowering_TP15,TP15R13
SRR8743092,Metatranscriptome_Root_Preflowering_TP16,TP16R5
SRR8743093,Metatranscriptome_Root_Preflowering_TP17,TP17R18
SRR8743094,Metatranscriptome_Root_Preflowering_TP17,TP17R13
SRR8743095,Metatranscriptome_Root_Preflowering_TP17,TP17R5
SRR8743096,Metatranscriptome_Root_Postflowering_TP09,TP09R3
SRR8743097,Metatranscriptome_Root_Postflowering_TP09,TP09R22
SRR8743098,Metatranscriptome_Root_Postflowering_TP09,TP09R16
SRR8743099,Metatranscriptome_Root_Postflowering_TP10,TP10R3
