AMF_induced_gene,Module_all,Module1,Module3,Module4
Sobic.003G228300,Sobic.010G062100,,Sobic.007G016800,
Sobic.003G228500,Sobic.010G112800,,Sobic.007G019600,
Sobic.003G228600,Sobic.010G122000,,Sobic.007G027900,
Sobic.003G228200,Sobic.010G138000,,Sobic.007G028600,
Sobic.003G228700,Sobic.010G177100,,Sobic.007G046900,
Sobic.003G228400,Sobic.010G193800,,Sobic.007G053800,
Sobic.003G228900,Sobic.010G195100,,Sobic.007G063200,
Sobic.003G229100,Sobic.010G211200,,Sobic.007G075600,
Sobic.003G229200,Sobic.010G253100,,Sobic.007G084200,
Sobic.003G229000,Sobic.010G253400,,Sobic.007G084300,
Sobic.003G109832,Sobic.010G267400,,Sobic.007G090436,
Sobic.010G182966,Sobic.010G280100,,Sobic.007G090460,
Sobic.K043800,Sobic.001G002800,,Sobic.007G090537,
Sobic.002G388800,Sobic.001G004600,,Sobic.007G090600,
Sobic.002G388900,Sobic.001G008400,,Sobic.007G091900,
Sobic.002G389000,Sobic.001G008900,,Sobic.007G103800,
Sobic.009G133100,Sobic.001G014200,,Sobic.007G112100,
Sobic.001G359400,Sobic.001G021500,,Sobic.007G113900,
Sobic.002G389100,Sobic.001G023500,,Sobic.007G114500,
Sobic.003G156200,Sobic.001G025500,,Sobic.007G116500,
Sobic.010G070000,Sobic.001G029500,,Sobic.007G116800,
Sobic.010G069900,Sobic.001G029800,,Sobic.007G118500,
Sobic.004G086400,Sobic.001G030600,,Sobic.007G119500,
Sobic.002G398600,Sobic.001G033300,,Sobic.007G125300,
Sobic.010G069700,Sobic.001G038300,,Sobic.007G129000,
Sobic.010G069800,Sobic.001G040500,,Sobic.007G130000,
Sobic.001G359500,Sobic.001G046400,,Sobic.007G131200,
Sobic.001G359300,Sobic.001G047900,,Sobic.007G139500,
Sobic.002G197000,Sobic.001G049600,,Sobic.007G148300,
Sobic.007G133600,Sobic.001G050200,,Sobic.007G150800,
Sobic.009G176400,Sobic.001G054600,,Sobic.007G151500,
Sobic.005G015450,Sobic.001G059900,,Sobic.007G154800,
Sobic.005G015600,Sobic.001G063500,,Sobic.007G158000,
Sobic.002G419600,Sobic.001G066100,,Sobic.007G160300,
Sobic.004G352000,Sobic.001G069700,,Sobic.007G161600,
Sobic.003G403000,Sobic.001G073150,,Sobic.007G162000,
Sobic.007G020600,Sobic.001G074000,,Sobic.007G162600,
Sobic.001G454900,Sobic.001G074100,,Sobic.007G168900,
Sobic.003G149300,Sobic.001G075400,,Sobic.007G170300,
Sobic.002G286800,Sobic.001G076800,,Sobic.007G171400,
Sobic.008G006100,Sobic.001G077200,,Sobic.007G177000,
Sobic.005G005400,Sobic.001G078600,,Sobic.007G179400,
Sobic.004G019800,Sobic.001G080600,,Sobic.007G180200,
Sobic.009G224800,Sobic.001G081200,,Sobic.007G181000,
Sobic.004G284700,Sobic.001G083500,,Sobic.007G184800,
Sobic.006G075200,Sobic.001G085500,,Sobic.007G186200,
Sobic.006G075350,Sobic.001G086000,,Sobic.007G189100,
Sobic.010G220700,Sobic.001G088400,,Sobic.007G190200,
Sobic.006G075300,Sobic.001G090400,,Sobic.007G191800,
Sobic.010G112300,Sobic.001G094800,,Sobic.007G192000,
Sobic.004G250400,Sobic.001G102500,,Sobic.007G193700,
Sobic.K016500,Sobic.001G103000,,Sobic.007G194100,
Sobic.006G074100,Sobic.001G104500,,Sobic.007G201500,
Sobic.001G353200,Sobic.001G107100,,Sobic.007G203300,
Sobic.003G310200,Sobic.001G107200,,Sobic.007G206700,
Sobic.002G215800,Sobic.001G108100,,Sobic.007G210200,
Sobic.006G170300,Sobic.001G108500,,Sobic.007G213400,
Sobic.003G293600,Sobic.001G109700,,Sobic.007G216700,
Sobic.003G269600,Sobic.001G116000,,Sobic.007G219100,
Sobic.003G269500,Sobic.001G116900,,Sobic.007G220400,
Sobic.001G121600,Sobic.001G121900,,Sobic.007G223500,
Sobic.001G465100,Sobic.001G130700,,Sobic.007G223701,
Sobic.010G043000,Sobic.001G131800,,Sobic.008G005100,
Sobic.004G087700,Sobic.001G131900,,Sobic.008G005800,
Sobic.004G087800,Sobic.001G138000,,Sobic.008G010900,
Sobic.003G215600,Sobic.001G140000,,Sobic.008G014100,
Sobic.003G216000,Sobic.001G140600,,Sobic.008G016200,
Sobic.002G372100,Sobic.001G143200,,Sobic.008G017800,
Sobic.001G428600,Sobic.001G146000,,Sobic.008G021900,
Sobic.008G169300,Sobic.001G147900,,Sobic.008G023300,
Sobic.003G370200,Sobic.001G148200,,Sobic.008G026700,
Sobic.003G223500,Sobic.001G154200,,Sobic.008G039800,
Sobic.001G450000,Sobic.001G155700,,Sobic.008G072050,
Sobic.003G293300,Sobic.001G157100,,Sobic.008G078000,
Sobic.001G149400,Sobic.001G158200,,Sobic.008G083500,
Sobic.001G120900,Sobic.001G161500,,Sobic.008G088200,
Sobic.003G348100,Sobic.001G161601,,Sobic.008G088821,
Sobic.007G202700,Sobic.001G162400,,Sobic.008G089100,
Sobic.003G392800,Sobic.001G169900,,Sobic.008G091400,
Sobic.003G352600,Sobic.001G177900,,Sobic.008G093000,
Sobic.005G046250,Sobic.001G179100,,Sobic.008G094000,
Sobic.005G005000,Sobic.001G189000,,Sobic.008G095150,
Sobic.001G015300,Sobic.001G191300,,Sobic.008G095200,
Sobic.001G023700,Sobic.001G192700,,Sobic.008G098600,
Sobic.001G062066,Sobic.001G196000,,Sobic.008G101300,
Sobic.001G086400,Sobic.001G201000,,Sobic.008G102800,
Sobic.001G123900,Sobic.001G205000,,Sobic.008G104000,
Sobic.001G182600,Sobic.001G216800,,Sobic.008G110200,
Sobic.001G185200,Sobic.001G222900,,Sobic.008G110700,
Sobic.001G268700,Sobic.001G224300,,Sobic.008G112200,
Sobic.001G273800,Sobic.001G230300,,Sobic.008G118700,
Sobic.001G314700,Sobic.001G231200,,Sobic.008G124000,
Sobic.001G416500,Sobic.001G232000,,Sobic.008G126800,
Sobic.001G500100,Sobic.001G240500,,Sobic.008G137300,
Sobic.002G010500,Sobic.001G250100,,Sobic.008G141200,
Sobic.002G034100,Sobic.001G261448,,Sobic.008G148400,
Sobic.002G044400,Sobic.001G261545,,Sobic.008G156900,
Sobic.002G075400,Sobic.001G261549,,Sobic.008G160400,
Sobic.002G079200,Sobic.001G262500,,Sobic.008G160600,
Sobic.002G106700,Sobic.001G263300,,Sobic.008G164800,
Sobic.002G122300,Sobic.001G267800,,Sobic.008G169800,
Sobic.002G128300,Sobic.001G276800,,Sobic.008G171600,
Sobic.002G159750,Sobic.001G285200,,Sobic.008G171900,
Sobic.002G174700,Sobic.001G293100,,Sobic.008G173400,
Sobic.002G184300,Sobic.001G294400,,Sobic.008G181400,
Sobic.002G210100,Sobic.001G295900,,Sobic.008G183900,
Sobic.002G217300,Sobic.001G296100,,Sobic.008G188800,
Sobic.002G227000,Sobic.001G298600,,Sobic.008G189100,
Sobic.002G256601,Sobic.001G299600,,Sobic.009G002200,
Sobic.002G265400,Sobic.001G300400,,Sobic.009G002400,
Sobic.002G266200,Sobic.001G300500,,Sobic.009G012900,
Sobic.002G285450,Sobic.001G302300,,Sobic.009G016100,
Sobic.002G311900,Sobic.001G302900,,Sobic.009G017500,
Sobic.002G358100,Sobic.001G304100,,Sobic.009G019000,
Sobic.002G394900,Sobic.001G304800,,Sobic.009G024100,
Sobic.003G010200,Sobic.001G307600,,Sobic.009G025400,
Sobic.003G017300,Sobic.001G313100,,Sobic.009G032100,
Sobic.003G026000,Sobic.001G320500,,Sobic.009G032800,
Sobic.003G073750,Sobic.001G321000,,Sobic.009G033400,
Sobic.003G076800,Sobic.001G325700,,Sobic.009G033600,
Sobic.003G077001,Sobic.001G334900,,Sobic.009G034500,
Sobic.003G088200,Sobic.001G345100,,Sobic.009G035300,
Sobic.003G155600,Sobic.001G347700,,Sobic.009G036500,
Sobic.003G156000,Sobic.001G351500,,Sobic.009G048000,
Sobic.003G186300,Sobic.001G352700,,Sobic.009G053600,
