"","KO_richness","KO_shannon","KO_Simpson","OTU_richness","OTU_shannon","OTU_Simpson","NA","Treat","Week","NA","NA","NA","NA","NA","Cultivar","NA","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","mpd.obs.z.1"
"SRR8743152_quant",9054,"7.4285","0.9102",15,"3.4502","0.8802","Root","Control",15,"RCO15","Root_Control_TP15","TP15R20","TP15R20",1,"t430",20,15,0.300960496167585,0.482567570970512,0.0556648953504291,4,-3.26250635449236,0.004,999,3.26250635449236
"SRR8743153_quant",10966,"8.2161","0.9373",15,"3.1761","0.8448","Root","Control",15,"RCO15","Root_Control_TP15","TP15R1t","TP15R1",1,"t430",1,15,0.240183988467401,0.46060849104398,0.0632572353416423,3,-3.48457376276564,0.003,999,3.48457376276564
"SRR8743154_quant",20462,"8.6075","0.9252",14,"3.2326","0.8655","Root","Control",16,"RCO16","Root_Control_TP16","TP16R12","TP16R12",1,"t430",12,14,0.277219279123049,0.473584279427641,0.0609273623984628,3,-3.22293617472511,0.003,999,3.22293617472511
"SRR8743155_quant",11246,"9.5443","0.9837",12,"3.1130","0.8499","Root","Control",17,"RCO17","Root_Control_TP17","TP17R20","TP17R20",1,"t430",20,12,0.253085760181359,0.463783429331791,0.0616264758567322,1,-3.41894723365745,0.001,999,3.41894723365745
"SRR8743156_quant",12930,"9.4234","0.9800",15,"3.3605","0.8687","Root","Control",17,"RCO17","Root_Control_TP17","TP17R1","TP17R1",1,"t430",1,15,0.275118717891644,0.476495889996726,0.0574302573599161,2,-3.50646473413916,0.002,999,3.50646473413916
"SRR8743157_quant",11901,"9.5662","0.9831",14,"3.4517","0.8893","Root","Control",17,"RCO17","Root_Control_TP17","TP17R12","TP17R12",1,"t430",12,14,0.273631393953627,0.484778041075594,0.0564364176042715,1,-3.74131910006253,0.001,999,3.74131910006253
"SRR8743158_quant",762,"2.6626","0.6865",2,"0.7158","0.3163","Root","Preflowering drought",3,"RPR03","Root_Preflowering_TP03","TP03R6","TP3R6",1,"t642",6,2,0.210751456344812,0.174027048564859,0.0789282936134258,569,0.46528825214214,0.569,999,-0.46528825214214
"SRR8743159_quant",618,"3.2449","0.7626",4,"1.1517","0.5000","Root","Preflowering drought",3,"RPR03","Root_Preflowering_TP03","TP03R14","TP3R14",1,"t642",14,4,0.312262934710744,0.275169785130305,0.111895325187207,534,0.3314986530347,0.534,999,-0.3314986530347
"SRR8743160_quant",462,"3.1666","0.7677",3,"1.0961","0.4830","Root","Preflowering drought",3,"RPR03","Root_Preflowering_TP03","TP03R17","TP3R17",1,"t642",17,3,0.311375281513315,0.266535526040465,0.107965556764241,553,0.415315372945877,0.553,999,-0.415315372945877
"SRR8743161_quant",444,"2.4399","0.6222",7,"2.0406","0.7135","Root","Preflowering drought",4,"RPR04","Root_Preflowering_TP04","TP04R6","TP4R6",1,"t642",6,7,0.318150141376492,0.39104104587865,0.0919849504043677,230,-0.792422066672086,0.23,999,0.792422066672086
