,Group_2,Group_1,RCO02,RCO03,RCO04,RCO05,RCO06,RCO07,RCO08,RCO09,RCO10,RCO11,RCO12,RCO13,RCO14,RCO15,RCO16,RCO17,RPR03,RPR04,RPR05,RPR06,RPR07,RPR08,RPR09,RPR10,RPR11,RPR12,RPR13,RPR14,RPR15,RPR16,RPR17,RPO09,RPO10,RPO11,RPO12,RPO13,RPO14,RPO15,RPO16,RPO17,ZCO03,ZCO04,ZCO08,ZCO09,ZCO10,ZCO11,ZPR03,ZPR04,ZPR08,ZPR09,ZPR10,ZPO10,ZPO11,SCO04,SCO08,SCO09,SCO10,SCO11,SPR04,SPR08,SPR09,SPR10,SPO10,SPO11
jgi.Rhidi1.639105.estExt_Genewise1.C_1210029,Sporulation,spore,41.53378,0,5.4259833,25.1837667,22.6380783,9.74755,89.8850833,53.2914167,120.4489167,141.2275333,182.6004,144.19625,164.0685,126.76362,133.23,160.3831667,0,0,0,1.2666683,10.38955,0,31.9871167,34.7432167,28.42115,90.3893667,97.92935,121.84565,73.7246,48.5997,142.4318667,109.39645,41.9777333,34.3921,16.39005,23.3661833,70.68325,10.2649,7.6456,17.1096,5.792785,0,10.3957,0.774095,6.796615,2.3823895,2.64475,0.63194,3.940695,0.4880985,1.53279,0.72274,4.1107,4.795825,16.698221,1.83584,3.448145,8.6418,22.24835,0,20.31063,1.04217,1.150875,1.6997395
jgi.Gloin1.225791.CE125667_3718,Sporulation,spore,45.87394,6.8968833,2.93505,10.4203017,20.432315,9.76868,43.58375,33.6420217,60.5968667,84.2994667,140.5562,100.1358667,158.0695,113.4216,82.4158,77.0637333,0,0,0,0,0,0,16.1174167,9.4981167,14.53045,50.6625167,44.8861667,120.27635,72.154575,36.2077,85.8655833,74.6354833,29.1736833,14.0716333,20.64645,20.25824,6.17995,9.1227333,35.706795,13.8589667,0,0.605915,1.5096665,0.3232795,2.35563,0.278329,3.273475,0,0,0,0,0,0.4401325,3.159735,5.41005,2.022065,1.92288,2.0950515,7.68705,0,10.57381,0.862485,1.4825695,2.018275
jgi.Rhice1_1.691414.e_gw1.114.81.1,Sporulation,spore,5.50634,2.24515,0,4.9441833,0.43033,9.74876,28.0763167,9.5526667,30.6246667,28.6546333,30.1612,30.0922667,52.11095,35.26238,27.1696,42.9053167,0.74021,0,0,0,0,0,11.5484833,6.0727833,11.15975,3.0916,12.4813667,24.55875,38.4997,22.5351,39.4231,12.4411333,6.4364333,8.41495,8.0269,7.7896333,7.088,6.82725,0,7.6671833,0,2.821085,0,0.3640075,0,0.942665,0,0,0,0,0,0,1.9634965,5.47846,3.434495,1.14946,5.70583,0.484603,1.412925,0.733165,2.36484,1.465651,1.137005,0.33606
jgi.RhiirA4.233641.CE233640_1510,Sporulation,spore,3.961135,0,0,4.1481,4.712433,2.8235,4.448462,5.816102,37.71942,21.6316,38.43988,40.81788,48.781,52.73034,26.0218,48.48023,0.0000805,0,0,4.863483,9.4001,0,0,2.33E-06,0,3.91955,14.6029,5.4429,30.946,15.904,54.10023,14.32818,7.792733,15.92547,0,7.013007,13.78225,1.897534,13.8349,3.59075,2.913235,0.6678,3.804715,0,1.03619,0.344685,1.219285,0,0,0,0,0.4858975,0.463495,0.50644,3.2764,1.11149,1.414625,1.080645,5.616255,0,1.74765,1.905792,1.60721,0.961587
jgi.RhiirA4.343446.estExt_Genewise1.C_4330025,Sporulation,spore,13.662985,1.93685,0,0.7410567,5.1395,3.63846,18.68005,3.6424217,20.0871667,25.8071317,38.92378,35.7247183,25.01055,31.05528,19.7758,29.3573733,0,0,0,0,0,3.16722,0,6.7783667,0,8.8605667,20.5659,45.44385,9.485675,7.26145,33.7543167,30.0109167,20.29775,24.7056,32.8955,11.8346833,0,6.5084,18.41405,7.44955,0,0,0.532,0,0.391717,0,0,0,0,0,0,0.600055,0.4360275,0.554995,0.697185,0,1.122945,0.848,0,0,4.429295,0,0,0
jgi.Rhidi1.632981.e_gw1.817.11.1,Sporulation,spore,9.274667,0,0,0,3.37015,10.68485,11.06445,3.085717,9.3013,9.713767,54.2693,32.512617,7.36935,31.4725,18.1173,22.03475,12.2569,0,0,0,0,0,0,7.15305,0,0,24.209833,0,0,0,53.544733,4.866167,9.4412,1.969051,0,17.93685,0,8.0107,0,11.649983,0,0,3.198335,2.157075,1.053475,0,0,0,0,0,0,1.3206,0.9484,0,0,0,0.127858,0,0,0,0,0,0,1.402225
jgi.Gloin1.160709.CE60585_890,Sporulation,spore,3.1219917,0,0,1.8937,5.488175,0.86542,5.22546,3.1620883,11.1323833,11.1384433,12.40935,19.5103567,16.52065,25.40828,19.5509,24.6131333,0,0,0,0,0,0,2.198,0,0,7.208655,5.7277367,14.34595,19.476175,4.530975,30.6776333,12.04633,4.64145,10.713175,0,7.7441667,16.31755,5.5808667,0,12.2321267,0.355937,0,0.234858,0,0.855375,0.3403575,0,0.9871895,3.564265,0.85916,0.246129,0.331087,0,1.684471,0.4830795,0,0.8407,0,4.064995,0,0.4839245,0.458096,0.537015,0.598501
jgi.Rhice1_1.690724.e_gw1.99.46.1,Sporulation,spore,0,0,0,0,2.869958,6.8594,6.27885,11.856345,16.241283,17.027467,29.00382,15.476467,26.3866,10.238618,8.29499,29.52931,0,0,0,0,0,0,0,0,0,0,21.403717,5.6445,16.5672,9.25872,18.1533,6.986383,0,6.049783,16.18595,0,7.14635,7.871283,0,13.145617,0,0,0,0,1.966685,0,0,0,8.34185,0,0,0,0,0,2.56464,1.1474,1.796535,1.46455,0,0,0.745935,0,0.572675,0.67713
jgi.Rhiir2_1.1462546.e_gw1.218.41.1,Sporulation,spore,0,0,0,8.268433,1.33812,0,0,1.617807,6.742117,0,7.569608,17.177043,5.1043,10.051088,0,12.166708,0,0,0,0,0,0,0,0,4.643233,0,3.7594,4.68126,2.51915,6.6204,12.898415,8.872033,0,6.217117,0,6.03565,0,4.20565,0,6.411117,2.087415,0,1.776235,0,0.454091,0,0,0,7.0963,0,0,1.16824,0.84832,0.442007,0,0,0.505945,0.82421,1.681277,0,0.439063,0.41502,0.91676,1.104485
jgi.Gloin1.15620.gm1.15508_g,Sporulation,spore,0,0,0,1.7108333,0,0,0,0.7758067,4.48275,4.6635277,13.84004,7.000725,13.85065,5.35488,11.2464,13.190435,0,0,0,0,0,0,0,0,0,1.2396767,0.95099,3.113393,7.445235,2.539805,8.217225,3.2534683,6.77415,8.8236733,10.784045,0.6534983,3.835955,0,2.853025,9.023998,0.3234165,0,1.5233375,0,0.2318955,0,1.61581,0,0,0,0,0,0,0.54205,0.4387365,0,0.1822175,0.4427215,1.756275,0,2.50721,0,0.229386,1.450995
