"","OTU51Rhizophagus","OTU70Claroideoglomus","OTU166Rhizophagus","OTU150Rhizophagus","OTU253Funneliformis","OTU118Rhizophagus","OTU161Rhizophagus","OTU132Rhizophagus","OTU133Glomus","OTU206Glomus","OTU213Rhizophagus","OTU935Rhizophagus","OTU126Glomus","OTU251Rhizophagus","OTU558Funneliformis","OTU323Glomus","OTU224Glomus","OTU229Glomus","OTU355Funneliformis","OTU408Fungi","OTU347Rhizophagus","OTU476Glomus","OTU277Glomus","OTU565Funneliformis","OTU491Claroideoglomus","OTU368Fungi","OTU400Glomus","OTU333Glomus","OTU435Glomus","OTU534Glomus","OTU944Rhizophagus","OTU553Fungi","OTU536Claroideoglomus","OTU682Fungi","OTU551Fungi","OTU989Funneliformis","OTU498Glomus","OTU579Glomus","OTU987Paraglomus","OTU683Fungi","OTU734Rhizophagus","OTU568Fungi","OTU715Glomus","OTU574Glomus","OTU986Fungi","OTU659Glomus","OTU660Fungi","OTU1068Glomus","OTU564Glomus","OTU735Claroideoglomus","OTU597Paraglomus","OTU998Glomus","OTU1184Rhizophagus","OTU1065Claroideoglomus","OTU936Claroideoglomus","OTU1063Fungi","OTU1070Fungi","OTU1105Fungi","OTU1197Claroideoglomus","OTU1274Paraglomus","OTU1103Fungi","OTU969Claroideoglomus","OTU1013Glomeraceae","OTU975Paraglomus","OTU945Glomus"
"SRR8743144_quant",8,0,16,8,1,8,4,6,0,1,7,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743145_unmaped_quant",0,0,8,8,0,12,8,2,5,0,5,0,5,0,0,2,0,1,0,0,0,5,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743146_quant",3,0,11,4,1,3,6,4,11,0,1,0,4,2,0,7,0,4,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743147_quant",1,0,24,5,0,7,8,7,1,0,2,0,1,4,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743148_quant",17,1,12,11,0,4,3,3,1,0,6,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743149_quant",0,0,16,6,0,8,5,6,8,0,1,0,4,4,0,5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743150_quant",0,0,16,9,0,7,5,8,7,0,1,0,4,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743151_quant",0,0,12,6,0,4,8,8,9,0,0,2,4,2,0,6,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743152_quant",0,2,16,10,0,4,2,2,4,0,4,1,4,0,0,4,0,0,0,0,0,8,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743153_quant",1,1,20,5,0,9,10,6,2,0,4,0,2,1,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
