Category,Description
jgi|Rhice1_1|772602|fgenesh1_kg.220_#_30_#_TRINITY_DN19441_c2_g1_i1,AMF
jgi|Rhicl1|12030|transcript:GBC00900,AMF
jgi|Rhicl1|23132|transcript:GBB87561,AMF
jgi|Rhice1_1|813621|gm1.2405_g,AMF
jgi|Rhidi1|755152|gm1.6226_g,AMF
jgi|Rhice1_1|754048|fgenesh1_kg.37_#_223_#_TRINITY_DN15406_c0_g1_i2,AMF
jgi|Gloin1|280395|CE180271_1914,AMF
jgi|RhiirA1_1|455772|gm1.8137_g,AMF
jgi|Rhidi1|709211|fgenesh1_kg.312_#_16_#_TRINITY_GG_3292_c1_g1_i3,AMF
jgi|Rhicl1|13946|transcript:GBC02349,AMF
jgi|Rhidi1|654784|estExt_Genewise1Plus.C_2480007,AMF
jgi|Rhicl1|16505|transcript:GBC04789,AMF
jgi|Rhiir2_1|1540489|fgenesh1_kg.34_#_1047_#_TRINITY_DN1436_c0_g3_i1,AMF
jgi|Rhice1_1|819515|gm1.8299_g,AMF
jgi|Rhice1_1|879893|estExt_Genemark1.C_4640024,AMF
jgi|Rhicl1|4182|transcript:GBB94997,AMF
jgi|Rhicl1|15680|transcript:GBC03992,AMF
jgi|Rhicl1|26998|transcript:GBB90939,AMF
jgi|Rhidi1|156483|CE156373_2690,AMF
jgi|RhiirC2|830325|MIX24478_415_18,AMF
jgi|Rhicl1|7410|transcript:GBB97550,AMF
jgi|Gloin1|70481|e_gw1.6938.1.1,AMF
jgi|Rhiir2_1|1681245|fgenesh1_kg.252_#_566_#_V1MblContig112,AMF
jgi|RhiirC2|744761|fgenesh1_kg.523_#_14_#_ACTTGA_L001_R1_(paired)_contig_3432,AMF
jgi|Gloin1|29066|gm1.28954_g,AMF
jgi|Rhicl1|11161|transcript:GBC00245,AMF
jgi|Rhice1_1|748372|fgenesh1_kg.7_#_308_#_TRINITY_DN9339_c0_g1_i1,AMF
jgi|Gloin1|344197|fgenesh1_kg.13808_#_1_#_ACTTGA_L001_R1_(paired)_contig_7206,AMF
jgi|Rhidi1|654410|estExt_Genewise1Plus.C_2300003,AMF
jgi|Rhicl1|3019|transcript:GBB94033,AMF
jgi|RhiirA1_1|460660|gm1.13025_g,AMF
jgi|Rhidi1|816080|estExt_Genemark1.C_2320022,AMF
jgi|Rhidi1|732885|fgenesh1_pm.12_#_8,AMF
jgi|Rhiir2_1|1856780|estExt_Genewise1.C_930064,AMF
jgi|Rhicl1|20362|transcript:GBC08365,AMF
jgi|Rhicl1|17236|transcript:GBC05460,AMF
jgi|Rhicl1|10405|transcript:GBB86146,AMF
jgi|Gloin1|16755|gm1.16643_g,AMF
jgi|Rhiir2_1|1835815|estExt_fgenesh1_pg.C_180046,AMF
jgi|Rhicl1|13589|transcript:GBB86935,AMF
jgi|RhiirA1_1|425971|fgenesh1_kg.1142_#_5_#_remain_c1264,AMF
jgi|Rhicl1|24008|transcript:GBB88310,AMF
jgi|Rhicl1|10549|transcript:GBB86192,AMF
jgi|Rhice1_1|769136|fgenesh1_kg.170_#_23_#_TRINITY_DN19655_c1_g1_i1,AMF
jgi|Rhiir2_1|1532180|fgenesh1_kg.28_#_1104_#_TRINITY_DN8850_c0_g1_i2,AMF
jgi|Rhiir2_1|1662142|fgenesh1_kg.203_#_200_#_TRINITY_DN9622_c0_g4_i1,AMF
jgi|Rhicl1|21476|transcript:GBC09425,AMF
jgi|Rhicl1|10935|transcript:GBC00089,AMF
jgi|Rhidi1|680148|fgenesh1_kg.5_#_128_#_TRINITY_GG_1555_c56_g1_i2,AMF
jgi|Rhicl1|17617|transcript:GBB87167,AMF
jgi|Gloin1|94477|fgenesh1_pg.16317_#_1,AMF
jgi|Rhiir2_1|1700526|fgenesh1_kg.320_#_108_#_TRINITY_DN9303_c0_g1_i4,AMF
jgi|Gloin1|346130|fgenesh1_kg.17225_#_2_#_remain_c5272,AMF
jgi|Rhicl1|24464|transcript:GBB83852,AMF
jgi|Gloin1|339504|fgenesh1_kg.6787_#_6_#_ACTTGA_L001_R1_(paired)_contig_2658,AMF
jgi|RhiirA5|409941|gm1.4674_g,AMF
jgi|Rhiir2_1|1509452|fgenesh1_kg.12_#_924_#_ACTTGA_L001_R1_(paired)_contig_1117,AMF
jgi|Gloin1|95519|fgenesh1_pg.18046_#_1,AMF
jgi|Rhicl1|12355|transcript:GBC01102,AMF
jgi|Rhidi1|708589|fgenesh1_kg.300_#_50_#_TRINITY_GG_5498_c33_g3_i1,AMF
jgi|Gloin1|271416|CE171292_1220,AMF
jgi|Gloin1|334257|fgenesh1_kg.416_#_6_#_ACTTGA_L001_R1_(paired)_contig_4169,AMF
jgi|Rhicl1|17087|transcript:GBC05311,AMF
jgi|Rhicl1|19067|transcript:GBC07168,AMF
jgi|Rhicl1|3545|transcript:GBB94466,AMF
jgi|Rhidi1|713106|fgenesh1_kg.394_#_24_#_TRINITY_GG_3751_c6_g2_i2,AMF
jgi|RhiirA4|398719|fgenesh1_kg.249_#_11_#_step3_c2622,AMF
jgi|Gloin1|78208|e_gw1.17564.3.1,AMF
jgi|Rhidi1|189244|CE189134_24305,AMF
jgi|Rhicl1|5392|transcript:GBB95991,AMF
jgi|Gloin1|340529|fgenesh1_kg.8236_#_3_#_ACTTGA_L001_R1_(paired)_contig_236,AMF
jgi|Rhicl1|13467|transcript:GBB86916,AMF
jgi|RhiirA4|395161|fgenesh1_kg.114_#_18_#_ACTTGA_L001_R1_(paired)_contig_2916,AMF
jgi|Gloin1|269247|CE169123_1924,AMF
jgi|Rhicl1|20080|transcript:GBC08101,AMF
jgi|Rhicl1|21094|transcript:GBC09055,AMF
jgi|Gloin1|312971|CE212847_336,AMF
jgi|Rhidi1|770049|gm1.21123_g,AMF
jgi|Rhidi1|420751|CE420641_10628,AMF
jgi|RhiirC2|753783|fgenesh1_kg.1114_#_28_#_step3_c3190,AMF
jgi|Rhicl1|10963|transcript:GBC00107,AMF
jgi|Rhidi1|747748|estExt_fgenesh1_pg.C_7780001,AMF
jgi|Rhicl1|9507|transcript:GBB85943,AMF
jgi|Rhidi1|675306|fgenesh1_pg.660_#_8,AMF
jgi|Rhiir2_1|1776484|gm1.15238_g,AMF
jgi|Rhidi1|620917|e_gw1.90.25.1,AMF
jgi|Rhiir2_1|1750467|estExt_Genewise1Plus.C_850004,AMF
jgi|Gloin1|187498|CE87374_1778,AMF
jgi|Gloin1|2492|gm1.2380_g,AMF
jgi|Rhidi1|684414|fgenesh1_kg.29_#_97_#_TRINITY_GG_3699_c53_g1_i2,AMF
jgi|Rhiir2_1|1594236|fgenesh1_kg.93_#_794_#_TRINITY_DN10099_c4_g1_i3,AMF
jgi|Gloin1|198|gm1.86_g,AMF
jgi|Gloin1|337926|fgenesh1_kg.4831_#_1_#_ACTTGA_L001_R1_(paired)_contig_4612,AMF
jgi|Rhicl1|16885|transcript:GBC05141,AMF
jgi|RhiirC2|782606|gm1.15088_g,AMF
jgi|Gloin1|350245|fgenesh1_kg.27509_#_1_#_ACTTGA_L001_R1_(paired)_contig_2531,AMF
jgi|RhiirA4|457070|gm1.6866_g,AMF
jgi|Rhicl1|4438|transcript:GBB95230,AMF
jgi|Gloin1|338968|fgenesh1_kg.6043_#_10_#_ACTTGA_L001_R1_(paired)_contig_6532,AMF
jgi|Rhiir2_1|1864491|estExt_Genewise1.C_3520018,AMF
jgi|Rhicl1|8814|transcript:GBB98552,AMF
jgi|Rhiir2_1|1885455|estExt_Genemark1.C_4750006,AMF
jgi|Rhicl1|2011|transcript:GBB93192,AMF
jgi|Gloin1|64846|e_gw1.1207.8.1,AMF
jgi|Gloin1|35104|gm1.34992_g,AMF
jgi|Rhiir2_1|1661690|fgenesh1_kg.202_#_144_#_ACTTGA_L001_R1_(paired)_contig_9855,AMF
